version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789012 eni-c240636cdec8ffb07 10.0.2.114 10.0.2.237 60354 443 6 2740 3074280 1777433286 1777433386 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 172.16.10.180 151.101.1.140 59584 3389 6 1127 900473 1777465176 1777465181 ACCEPT OK
2 123456789012 eni-09599e93d26cfd9ea 10.0.3.221 10.0.1.206 56813 3389 6 4314 3649644 1777495014 1777495124 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.2.51 13.32.27.10 58773 443 6 590 437190 1777444934 1777444935 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 52.94.236.248 10.0.1.252 46839 80 6 1889 1558425 1777487746 1777487807 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 13.32.27.10 10.0.1.217 35296 443 6 4422 5111832 1777504232 1777504297 ACCEPT OK
2 123456789012 eni-044f15224b680339b 10.0.1.137 10.0.2.225 35357 3389 6 3937 3460623 1777466624 1777466646 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.1.67 10.0.1.203 40282 5432 6 922 703486 1777441339 1777441394 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 10.0.2.82 13.32.27.10 47586 3306 6 4710 5449470 1777488756 1777488846 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.1.144 10.0.2.108 48841 22 6 1672 1991352 1777475171 1777475285 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 151.101.65.140 172.16.10.47 26218 6379 6 1 80 1777466885 1777466890 REJECT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.2.102 172.16.10.126 52533 3306 6 1178 590178 1777487624 1777487666 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.3.106 172.16.10.166 52168 123 17 560 130480 1777458210 1777458278 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e - - - - - - - 1777470893 1777471493 - NODATA
2 123456789012 eni-044f15224b680339b 10.0.3.216 13.32.27.10 52184 443 6 3880 2498720 1777485094 1777485108 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 8.8.4.4 10.0.1.183 60973 443 6 3775 2646275 1777468018 1777468075 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 104.18.32.115 10.0.1.177 32867 80 6 441 403515 1777499826 1777499859 ACCEPT OK
2 123456789012 eni-044f15224b680339b 8.8.4.4 10.0.1.8 52840 443 6 294 132006 1777483094 1777483145 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 10.0.3.91 10.0.1.53 42496 80 6 1846 1408498 1777467042 1777467086 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 10.0.1.185 10.0.3.55 43675 123 17 4731 1017165 1777484497 1777484521 ACCEPT OK
2 123456789012 eni-4b50c4525e7ff86c7 10.0.3.99 10.0.1.144 34319 5432 6 876 861984 1777492613 1777492709 ACCEPT OK
2 123456789012 eni-044f15224b680339b 140.82.121.4 10.0.3.203 38608 8443 6 1 75 1777487429 1777487434 REJECT OK
2 123456789012 eni-4b50c4525e7ff86c7 151.101.1.140 10.0.1.58 47105 443 6 1357 1523911 1777473226 1777473294 ACCEPT OK
2 123456789012 eni-34fd0abed59bcfbad 172.16.10.112 8.8.8.8 57957 22 6 4889 4566326 1777492632 1777492672 ACCEPT OK
2 123456789012 eni-304496ab3037c7613 172.16.10.242 172.16.10.34 42432 443 6 3223 3661328 1777483170 1777483252 ACCEPT OK
2 123456789012 eni-99bd7a6155c10668e 10.0.2.148 1.1.1.1 57710 3389 6 722 384104 1777453319 1777453420 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 10.0.2.201 8.8.8.8 46635 53 17 2853 835929 1777488912 1777488932 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 172.16.10.109 104.18.32.115 48673 80 6 1169 1211084 1777433058 1777433174 ACCEPT OK
2 123456789012 eni-e6206e4e04d4f9880 8.8.8.8 10.0.1.91 33000 80 6 2725 3068350 1777459866 1777459900 ACCEPT OK
2 123456789012 eni-c240636cdec8ffb07 172.16.10.7 10.0.2.252 51504 80 6 2934 1733994 1777458020 1777458102 ACCEPT OK
